Car Name,Rating,Exterior & Body,Engine/Transmission/Clutch,Suspension/Steering,Interior,AC/Heater,Price,Model Date,Mileage,Fuel Type,Transmission,Last Updated Date,Offer URL
Hyundai Elantra GLS,9.7/10,94%,100%,100%,95%,100%,PKR 70 lacs,2022.0,"8,376 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/hyundai-elantra-2022-for-sale-in-lahore-8036782
Toyota Corolla Altis X Automatic 1.6 Special Edition,9.8/10,92%,100%,100%,97%,100%,PKR 65 lacs,2021.0,"57,815 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/toyota-corolla-2021-for-sale-in-karachi-8147119
Toyota Hilux Revo Rocco,9.9/10,97%,100%,100%,100%,100%,PKR 1.39 crore,2022.0,"16,938 km",Diesel,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/toyota-hilux-2022-for-sale-in-gujranwala-8026057
Daihatsu Mira X SA lll,9.4/10,81%,100%,100%,97%,100%,PKR 34.9 lacs,2020.0,"21,849 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/daihatsu-mira-2020-for-sale-in-gujranwala-8133763
Honda Civic Oriel 1.8 i-VTEC CVT,9.4/10,83%,100%,100%,95%,100%,PKR 70 lacs,2021.0,"56,081 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/honda-civic-2021-for-sale-in-gujranwala-8079212
Honda HR-V VTi-S,10-Oct,100%,100%,100%,100%,100%,PKR 77 lacs,,52 km,Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/honda-hr-v-2023-for-sale-in-gujranwala-7972216
Toyota Corolla Altis Automatic 1.6,8.7/10,58%,100%,100%,97%,100%,PKR 50 lacs,2020.0,"51,790 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/toyota-corolla-2020-for-sale-in-gujranwala-7968873
Toyota Yaris GLI MT 1.3,9.3/10,80%,100%,100%,93%,100%,PKR 38 lacs,2021.0,"20,458 km",Petrol,,"Nov 29, 2023",https://www.pakwheels.com/used-cars/toyota-yaris-2021-for-sale-in-gujranwala-7961180
Toyota Yaris,8.0/10,42%,98%,100%,92%,100%,PKR 36 lacs,2013.0,"122,481 km",Hybrid,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/toyota-yaris-2013-for-sale-in-gujranwala-7979663
Toyota Land Cruiser ZX,9.7/10,91%,100%,100%,97%,100%,PKR 4 crore,2013.0,"33,968 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/toyota-land-cruiser-2013-for-sale-in-karachi-8107604
Toyota Corolla Altis X Automatic 1.6,9.0/10,69%,100%,100%,90%,100%,PKR 58.5 lacs,2022.0,"17,799 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/toyota-corolla-2022-for-sale-in-karachi-8110606
Honda Civic 1.8 i-VTEC CVT,9.8/10,94%,100%,100%,98%,100%,PKR 54 lacs,2020.0,"38,443 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/honda-civic-2020-for-sale-in-karachi-8054362
Proton Saga 1.3L Standard M/T,9.0/10,77%,95%,100%,91%,100%,PKR 35 lacs,2021.0,"36,442 km",Petrol,,"Nov 29, 2023",https://www.pakwheels.com/used-cars/proton-saga-2021-for-sale-in-karachi-8078779
Toyota Corolla Altis 1.6 X CVT-i Special Edition,10-Oct,100%,100%,100%,97%,100%,PKR 73.5 lacs,,340 km,Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/toyota-corolla-2023-for-sale-in-karachi-8030965
Hyundai Tucson FWD A/T GLS Sport,9.8/10,97%,100%,100%,89%,100%,PKR 80 lacs,,"12,574 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/hyundai-tucson-2023-for-sale-in-karachi-8066414
Haval Jolion 1.5T,9.5/10,84%,100%,100%,100%,100%,PKR 87.5 lacs,,330 km,Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/haval-jolion-2023-for-sale-in-karachi-8076431
Toyota Yaris Hatchback G 1.0,9.1/10,71%,100%,100%,100%,100%,PKR 49 lacs,2020.0,"61,872 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/toyota-yaris-hatchback-2020-for-sale-in-karachi-7937487
MG HS 1.5 Turbo,9.3/10,78%,100%,100%,96%,100%,PKR 70 lacs,2021.0,"29,933 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/mg-hs-2021-for-sale-in-karachi-7995148
Suzuki Jimny,8.4/10,54%,98%,100%,89%,100%,PKR 26.5 lacs,2012.0,"92,256 km",Petrol,,"Nov 29, 2023",https://www.pakwheels.com/used-cars/suzuki-jimny-2012-for-sale-in-karachi-7992130
Mercedes Benz C Class C180 Avantgarde,10-Oct,100%,100%,100%,100%,100%,PKR 2.2 crore,2020.0,"13,653 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/mercedes-benz-c-class-2020-for-sale-in-karachi-7894677
Toyota Corolla Altis X Automatic 1.6 Special Edition,9.7/10,91%,100%,100%,97%,100%,PKR 65 lacs,2021.0,"18,917 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/toyota-corolla-2021-for-sale-in-karachi-8086161
KIA Picanto 1.0 AT,9.5/10,89%,100%,100%,87%,100%,PKR 33 lacs,2022.0,"9,148 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/kia-picanto-2022-for-sale-in-karachi-7903655
Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior,10-Oct,100%,100%,100%,100%,100%,PKR 72 lacs,2021.0,"7,908 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/toyota-corolla-2021-for-sale-in-karachi-8005300
Toyota Yaris ATIV X CVT 1.5,9.2/10,76%,100%,100%,95%,100%,PKR 45.5 lacs,2021.0,"6,088 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/toyota-yaris-2021-for-sale-in-karachi-7902806
