Car Name,Rating,Exterior & Body,Engine/Transmission/Clutch,Suspension/Steering,Interior,AC/Heater,Price,Model Date,Mileage,Fuel Type,Transmission,Last Updated Date,Offer URL
Hyundai Sonata 2.5,9.9/10,99%,100%,100%,90%,100%,PKR 1.07 crore,2021.0,"20,313 km",Petrol,Automatic,"Feb 22, 2024",https://www.pakwheels.com/used-cars/hyundai-sonata-2021-for-sale-in-lahore-8410063
KIA Sorento 3.5 FWD,10-Oct,100%,100%,100%,100%,100%,PKR 85 lacs,2022.0,"4,268 km",Petrol,Automatic,"Feb 22, 2024",https://www.pakwheels.com/used-cars/kia-sorento-2022-for-sale-in-lahore-8416280
Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior,9.9/10,95%,100%,100%,100%,100%,PKR 75 lacs,2023.0,"1,955 km",Petrol,Automatic,"Feb 22, 2024",https://www.pakwheels.com/used-cars/toyota-corolla-2023-for-sale-in-lahore-8405769
Daihatsu Mira LSA 3,8.6/10,55%,100%,100%,93%,100%,PKR 31.4 lacs,2020.0,"64,690 km",Petrol,Automatic,"Feb 22, 2024",https://www.pakwheels.com/used-cars/daihatsu-mira-2020-for-sale-in-karachi-8287613
MG HS PHEV,8.9/10,66%,100%,100%,94%,100%,PKR 1.3 crore,2022.0,"44,143 km",Hybrid,Automatic,"Feb 22, 2024",https://www.pakwheels.com/used-cars/mg-hs-2022-for-sale-in-karachi-8331756
Honda Civic Oriel 1.8 i-VTEC CVT,9.2/10,76%,100%,100%,100%,100%,PKR 56.5 lacs,2019.0,"79,304 km",Petrol,Automatic,"Feb 22, 2024",https://www.pakwheels.com/used-cars/honda-civic-2019-for-sale-in-islamabad-8343626
KIA Sportage FWD,9.0/10,68%,100%,100%,93%,100%,PKR 63 lacs,2020.0,"49,160 km",Petrol,Automatic,"Feb 22, 2024",https://www.pakwheels.com/used-cars/kia-sportage-2020-for-sale-in-faisalabad-8405388
Hyundai Tucson AWD A/T Ultimate,9.7/10,94%,100%,100%,98%,100%,PKR 79 lacs,2021.0,"50,796 km",Petrol,Automatic,"Feb 22, 2024",https://www.pakwheels.com/used-cars/hyundai-tucson-2021-for-sale-in-peshawar-8373423
Peugeot 2008 Allure,9.7/10,91%,100%,100%,100%,100%,PKR 75 lacs,2023.0,"13,914 km",Petrol,Automatic,"Feb 22, 2024",https://www.pakwheels.com/used-cars/peugeot-2008-2023-for-sale-in-lahore-8407700
Honda Civic Oriel 1.8 i-VTEC CVT,8.7/10,61%,98%,100%,95%,100%,PKR 51.5 lacs,2017.0,"23,300 km",Petrol,Automatic,"Feb 22, 2024",https://www.pakwheels.com/used-cars/honda-civic-2017-for-sale-in-karachi-8408540
Suzuki Wagon R VXL,9.4/10,86%,98%,100%,95%,100%,PKR 28 lacs,2019.0,"22,172 km",Petrol,,"Feb 22, 2024",https://www.pakwheels.com/used-cars/suzuki-wagon-r-2019-for-sale-in-islamabad-8368033
Toyota Corolla Altis X Automatic 1.6,8.9/10,67%,100%,100%,90%,100%,PKR 55 lacs,2021.0,"77,535 km",Petrol,Automatic,"Feb 22, 2024",https://www.pakwheels.com/used-cars/toyota-corolla-2021-for-sale-in-islamabad-8399535
Toyota Vitz F 1.0,9.4/10,86%,100%,100%,97%,100%,PKR 41 lacs,2018.0,"60,655 km",Petrol,Automatic,"Feb 22, 2024",https://www.pakwheels.com/used-cars/toyota-vitz-2018-for-sale-in-rawalpindi-8261705
Toyota Corolla Altis X Automatic 1.6 Special Edition,9.5/10,87%,98%,100%,92%,100%,PKR 62 lacs,2022.0,"40,519 km",Petrol,Automatic,"Feb 22, 2024",https://www.pakwheels.com/used-cars/toyota-corolla-2022-for-sale-in-islamabad-8390986
Toyota Corolla Altis Grande X CVT-i 1.8 Beige Interior,9.7/10,91%,100%,100%,95%,100%,PKR 65.5 lacs,2021.0,"36,491 km",Petrol,Automatic,"Feb 22, 2024",https://www.pakwheels.com/used-cars/toyota-corolla-2021-for-sale-in-islamabad-8381309
KIA Grand Carnival EX,9.1/10,68%,100%,100%,100%,100%,PKR 83 lacs,2018.0,"68,850 km",Petrol,Automatic,"Feb 22, 2024",https://www.pakwheels.com/used-cars/kia-grand-carnival-2018-for-sale-in-rawalpindi-8243594
KIA Sportage FWD,9.5/10,86%,100%,100%,97%,100%,PKR 77 lacs,2020.0,"8,799 km",Petrol,Automatic,"Feb 22, 2024",https://www.pakwheels.com/used-cars/kia-sportage-2020-for-sale-in-islamabad-8366723
KIA Sportage Black Limited Edition,10-Oct,100%,100%,100%,100%,100%,PKR 94.5 lacs,,"1,776 km",Petrol,Automatic,"Feb 22, 2024",https://www.pakwheels.com/used-cars/kia-sportage-2024-for-sale-in-islamabad-8328105
Toyota Yaris ATIV X CVT 1.5,9.3/10,75%,100%,100%,100%,100%,PKR 48 lacs,2020.0,"67,552 km",Petrol,Automatic,"Feb 22, 2024",https://www.pakwheels.com/used-cars/toyota-yaris-2020-for-sale-in-rawalpindi-8361960
Mazda Flair XG,9.3/10,84%,100%,100%,86%,100%,PKR 35 lacs,2018.0,"64,649 km",Petrol,Automatic,"Feb 22, 2024",https://www.pakwheels.com/used-cars/mazda-flair-2018-for-sale-in-islamabad-8348676
Changan Oshan X7 FutureSense,9.6/10,87%,100%,100%,100%,100%,PKR 85 lacs,2022.0,"8,977 km",Petrol,Automatic,"Feb 22, 2024",https://www.pakwheels.com/used-cars/changan-oshan-x7-2022-for-sale-in-islamabad-8324996
Honda City 1.5L ASPIRE CVT,9.8/10,95%,100%,100%,100%,100%,PKR 53.5 lacs,2021.0,"4,250 km",Petrol,Automatic,"Feb 22, 2024",https://www.pakwheels.com/used-cars/honda-city-2021-for-sale-in-islamabad-8279487
Audi A4 1.4 TFSI,9.1/10,71%,100%,100%,100%,100%,PKR 95 lacs,2016.0,"88,666 km",Petrol,Automatic,"Feb 22, 2024",https://www.pakwheels.com/used-cars/audi-a4-2016-for-sale-in-islamabad-8270091
Hyundai Tucson AWD A/T Ultimate,9.3/10,90%,100%,100%,100%,100%,PKR 82 lacs,2022.0,"13,255 km",Petrol,Automatic,"Feb 22, 2024",https://www.pakwheels.com/used-cars/hyundai-tucson-2022-for-sale-in-karachi-8413570
Hyundai Tucson AWD A/T Ultimate,9.8/10,94%,100%,100%,100%,100%,PKR 81 lacs,2022.0,"23,321 km",Petrol,Automatic,"Feb 22, 2024",https://www.pakwheels.com/used-cars/hyundai-tucson-2022-for-sale-in-lahore-8415457
Changan Karvaan Plus,9.7/10,94%,98%,100%,97%,100%,PKR 28.5 lacs,2022.0,"19,207 km",Petrol,,"Feb 22, 2024",https://www.pakwheels.com/used-cars/changan-karvaan-2022-for-sale-in-islamabad-8355486
Chery Tiggo 8 Pro 1.6 DEX Plus,9.8/10,93%,100%,100%,100%,100%,PKR 85 lacs,2022.0,"4,301 km",Petrol,Automatic,"Feb 22, 2024",https://www.pakwheels.com/used-cars/chery-tiggo-8-pro-2022-for-sale-in-islamabad-8352776
Honda Civic Oriel 1.8 i-VTEC CVT,9.5/10,86%,99%,100%,100%,100%,PKR 51.95 lacs,2017.0,"90,683 km",Petrol,Automatic,"Feb 22, 2024",https://www.pakwheels.com/used-cars/honda-civic-2017-for-sale-in-rawalpindi-8320999
Changan Alsvin 1.5L DCT Lumiere,9.6/10,91%,100%,100%,93%,100%,PKR 42 lacs,2022.0,"41,958 km",Petrol,Automatic,"Feb 22, 2024",https://www.pakwheels.com/used-cars/changan-alsvin-2022-for-sale-in-islamabad-8307578
Suzuki Alto VXR,9.4/10,87%,100%,100%,88%,100%,PKR 26.2 lacs,2022.0,"27,626 km",Petrol,,"Feb 22, 2024",https://www.pakwheels.com/used-cars/suzuki-alto-2022-for-sale-in-islamabad-8276742
Suzuki Alto VXR,9.6/10,87%,100%,100%,97%,100%,PKR 26 lacs,2021.0,"29,649 km",Petrol,,"Feb 22, 2024",https://www.pakwheels.com/used-cars/suzuki-alto-2021-for-sale-in-rawalpindi-8265159
Honda City 1.5L CVT,9.7/10,94%,100%,100%,94%,100%,PKR 48 lacs,2022.0,"22,386 km",Petrol,Automatic,"Feb 22, 2024",https://www.pakwheels.com/used-cars/honda-city-2022-for-sale-in-lahore-8415159
Honda Vezel Hybrid Z Honda Sensing,9.7/10,92%,100%,100%,100%,100%,PKR 79 lacs,2018.0,"16,761 km",Petrol,Automatic,"Feb 22, 2024",https://www.pakwheels.com/used-cars/honda-vezel-2018-for-sale-in-lahore-8252389
Proton X70 Executive AWD,9.2/10,75%,100%,100%,97%,100%,PKR 69.5 lacs,2021.0,"58,062 km",Petrol,Automatic,"Feb 22, 2024",https://www.pakwheels.com/used-cars/proton-x70-2021-for-sale-in-karachi-8284048
Toyota C-HR 1.2 Turbo,9.5/10,83%,100%,100%,100%,100%,PKR 68 lacs,2018.0,"34,060 km",Petrol,Automatic,"Feb 22, 2024",https://www.pakwheels.com/used-cars/toyota-c-hr-2018-for-sale-in-islamabad-8328399
DFSK Glory 580 Pro,9.6/10,91%,100%,100%,91%,100%,PKR 65 lacs,2023.0,"9,798 km",Petrol,Automatic,"Feb 22, 2024",https://www.pakwheels.com/used-cars/dfsk-glory-580-2023-for-sale-in-karachi-8343590
Honda HR-V VTi-S,9.6/10,86%,100%,100%,100%,100%,PKR 71.5 lacs,2022.0,"8,623 km",Petrol,Automatic,"Feb 22, 2024",https://www.pakwheels.com/used-cars/honda-hr-v-2022-for-sale-in-karachi-8402927
Toyota Corolla Axio,9.8/10,95%,100%,100%,100%,100%,PKR 82 lacs,2020.0,"34,805 km",Petrol,Automatic,"Feb 22, 2024",https://www.pakwheels.com/used-cars/toyota-corolla-axio-2020-for-sale-in-karachi-8277158
Suzuki Alto VXL AGS,10-Oct,99%,100%,100%,100%,100%,PKR 30 lacs,2022.0,53 km,Petrol,Automatic,"Feb 22, 2024",https://www.pakwheels.com/used-cars/suzuki-alto-2022-for-sale-in-karachi-8346142
Daihatsu Boon X SA 2,10-Oct,99%,100%,100%,100%,100%,PKR 41 lacs,2021.0,"6,180 km",Petrol,Automatic,"Feb 22, 2024",https://www.pakwheels.com/used-cars/daihatsu-boon-2021-for-sale-in-karachi-8231921
Suzuki Swift DLX Automatic 1.3 Navigation,7.7/10,36%,96%,96%,90%,100%,PKR 27 lacs,2019.0,"53,824 km",Petrol,Automatic,"Feb 22, 2024",https://www.pakwheels.com/used-cars/suzuki-swift-2019-for-sale-in-karachi-8289814
KIA Picanto 1.0 AT,9.7/10,91%,100%,100%,95%,100%,PKR 31 lacs,2022.0,"5,951 km",Petrol,Automatic,"Feb 22, 2024",https://www.pakwheels.com/used-cars/kia-picanto-2022-for-sale-in-karachi-8257807
Honda Civic 1.8 i-VTEC CVT,8.9/10,68%,100%,100%,97%,100%,PKR 55 lacs,2020.0,"32,428 km",Petrol,Automatic,"Feb 22, 2024",https://www.pakwheels.com/used-cars/honda-civic-2020-for-sale-in-karachi-8259365
Honda City Aspire Prosmatec 1.5 i-VTEC,8.9/10,69%,100%,100%,91%,100%,PKR 45 lacs,2021.0,"29,982 km",Petrol,Automatic,"Feb 22, 2024",https://www.pakwheels.com/used-cars/honda-city-2021-for-sale-in-karachi-8381557
Honda Vezel Hybrid Z,7.7/10,28%,100%,100%,90%,100%,PKR 50 lacs,2016.0,"50,593 km",Hybrid,Automatic,"Feb 22, 2024",https://www.pakwheels.com/used-cars/honda-vezel-2016-for-sale-in-karachi-8312901
Suzuki Cultus VXL,9.6/10,90%,100%,100%,95%,100%,PKR 33 lacs,2021.0,"47,089 km",Petrol,,"Feb 22, 2024",https://www.pakwheels.com/used-cars/suzuki-cultus-2021-for-sale-in-lahore-8075714
Toyota Corolla Altis 1.8,8.6/10,65%,97%,96%,88%,100%,PKR 47 lacs,2018.0,"102,190 km",Petrol,,"Feb 22, 2024",https://www.pakwheels.com/used-cars/toyota-corolla-2018-for-sale-in-faisalabad-8316668
Suzuki Wagon R VXL,8.9/10,70%,97%,100%,91%,100%,PKR 23 lacs,2019.0,"55,932 km",Petrol,,"Feb 22, 2024",https://www.pakwheels.com/used-cars/suzuki-wagon-r-2019-for-sale-in-karachi-8398609
Changan Alsvin 1.5L DCT Lumiere,9.6/10,89%,100%,100%,91%,100%,PKR 40.5 lacs,2022.0,"21,225 km",Petrol,Automatic,"Feb 22, 2024",https://www.pakwheels.com/used-cars/changan-alsvin-2022-for-sale-in-karachi-8413167
Hyundai Elantra GLS,10-Oct,100%,100%,100%,100%,100%,PKR 70.5 lacs,2023.0,"4,861 km",Petrol,Automatic,"Feb 22, 2024",https://www.pakwheels.com/used-cars/hyundai-elantra-2023-for-sale-in-gujranwala-8412515
Toyota Hilux Revo V Automatic 2.8,9.2/10,81%,100%,100%,88%,100%,PKR 1.2 crore,2021.0,"84,659 km",Diesel,Automatic,"Feb 21, 2024",https://www.pakwheels.com/used-cars/toyota-hilux-2021-for-sale-in-lahore-8408679
Suzuki Vitara GL+ 1.6,9.8/10,94%,100%,100%,100%,100%,PKR 62 lacs,2018.0,"3,334 km",Petrol,Automatic,"Feb 21, 2024",https://www.pakwheels.com/used-cars/suzuki-vitara-2018-for-sale-in-lahore-8367388
Honda Vezel e-HEV Play,10-Oct,100%,100%,100%,97%,100%,PKR 1.55 crore,2023.0,"1,456 km",Hybrid,Automatic,"Feb 21, 2024",https://www.pakwheels.com/used-cars/honda-vezel-2023-for-sale-in-lahore-8323642
Toyota Corolla Altis X Automatic 1.6,9.3/10,79%,100%,100%,97%,100%,PKR 56 lacs,2022.0,"23,992 km",Petrol,Automatic,"Feb 21, 2024",https://www.pakwheels.com/used-cars/toyota-corolla-2022-for-sale-in-karachi-8343588
Daihatsu Mira X SA lll,10-Oct,99%,100%,100%,100%,100%,PKR 36.5 lacs,2022.0,"1,334 km",Petrol,Automatic,"Feb 21, 2024",https://www.pakwheels.com/used-cars/daihatsu-mira-2022-for-sale-in-karachi-8384812
Honda Civic Turbo 1.5 VTEC CVT,8.8/10,59%,100%,100%,100%,100%,PKR 61 lacs,2016.0,"33,539 km",Petrol,Automatic,"Feb 21, 2024",https://www.pakwheels.com/used-cars/honda-civic-2016-for-sale-in-rawalpindi-8413135
Honda City 1.5L CVT,9.8/10,95%,100%,100%,98%,100%,PKR 50 lacs,2022.0,"15,061 km",Petrol,Automatic,"Feb 21, 2024",https://www.pakwheels.com/used-cars/honda-city-2022-for-sale-in-karachi-8371536
Toyota Prado TX 2.7,9.8/10,93%,100%,100%,98%,100%,PKR 2.52 crore,2018.0,"34,037 km",Petrol,Automatic,"Feb 21, 2024",https://www.pakwheels.com/used-cars/toyota-prado-2018-for-sale-in-karachi-8364224
Toyota Yaris Cross Hybrid Z,9.5/10,90%,100%,100%,94%,100%,PKR 1.02 crore,2021.0,"18,411 km",Hybrid,Automatic,"Feb 21, 2024",https://www.pakwheels.com/used-cars/toyota-yaris-cross-2021-for-sale-in-karachi-8256221
Hyundai Sonata 2.5,9.6/10,87%,100%,100%,95%,100%,PKR 1.05 crore,2023.0,"31,332 km",Petrol,Automatic,"Feb 21, 2024",https://www.pakwheels.com/used-cars/hyundai-sonata-2023-for-sale-in-gujranwala-8391122
Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior,9.1/10,74%,100%,100%,94%,100%,PKR 63 lacs,2021.0,"30,767 km",Petrol,Automatic,"Feb 21, 2024",https://www.pakwheels.com/used-cars/toyota-corolla-2021-for-sale-in-karachi-8390727
Toyota Esquire Gi,8.3/10,44%,100%,100%,97%,100%,PKR 65 lacs,2015.0,"113,366 km",Petrol,Automatic,"Feb 21, 2024",https://www.pakwheels.com/used-cars/toyota-esquire-2015-for-sale-in-karachi-8385251
Suzuki Cultus VXR,8.5/10,57%,98%,100%,85%,100%,PKR 30 lacs,2021.0,"76,148 km",Petrol,,"Feb 21, 2024",https://www.pakwheels.com/used-cars/suzuki-cultus-2021-for-sale-in-lahore-8403363
KIA Grand Carnival GLS+,9.9/10,96%,100%,100%,100%,100%,PKR 1.27 crore,2021.0,"9,612 km",Petrol,Automatic,"Feb 21, 2024",https://www.pakwheels.com/used-cars/kia-grand-carnival-2021-for-sale-in-lahore-8271698
Honda City Aspire Prosmatec 1.5 i-VTEC,9.0/10,68%,100%,100%,98%,100%,PKR 40 lacs,2020.0,"30,092 km",Petrol,Automatic,"Feb 21, 2024",https://www.pakwheels.com/used-cars/honda-city-2020-for-sale-in-karachi-8392307
Range Rover Vogue P400e,9.5/10,83%,100%,100%,97%,100%,PKR 7.25 crore,2019.0,"42,203 km",Petrol,Automatic,"Feb 21, 2024",https://www.pakwheels.com/used-cars/range-rover-vogue-2019-for-sale-in-lahore-8383114
Daihatsu Mira X SA lll,9.8/10,97%,100%,100%,100%,100%,PKR 37.5 lacs,2021.0,"8,457 km",Petrol,Automatic,"Feb 21, 2024",https://www.pakwheels.com/used-cars/daihatsu-mira-2021-for-sale-in-lahore-8157379
Toyota Vitz F 1.0,9.0/10,72%,100%,100%,84%,100%,PKR 38.5 lacs,2018.0,"43,857 km",Petrol,Automatic,"Feb 21, 2024",https://www.pakwheels.com/used-cars/toyota-vitz-2018-for-sale-in-karachi-8243042
KIA Sorento 3.5 FWD,9.6/10,85%,100%,100%,100%,100%,PKR 86 lacs,2021.0,"10,507 km",Petrol,Automatic,"Feb 21, 2024",https://www.pakwheels.com/used-cars/kia-sorento-2021-for-sale-in-rawalpindi-8411951
Toyota Sienta G,9.7/10,92%,100%,100%,100%,100%,PKR 63.75 lacs,2018.0,"103,069 km",Petrol,Automatic,"Feb 21, 2024",https://www.pakwheels.com/used-cars/toyota-sienta-2018-for-sale-in-karachi-8352455
Hyundai Elantra GL,9.8/10,96%,100%,100%,100%,100%,PKR 60 lacs,2022.0,"23,730 km",Petrol,Automatic,"Feb 21, 2024",https://www.pakwheels.com/used-cars/hyundai-elantra-2022-for-sale-in-lahore-8332211
Toyota Prado TX Limited 2.7,8.4/10,55%,97%,100%,85%,100%,PKR 81 lacs,2007.0,"129,755 km",Petrol,Automatic,"Feb 21, 2024",https://www.pakwheels.com/used-cars/toyota-prado-2007-for-sale-in-karachi-7358524
Honda Fit 1.5 Hybrid S Package,9.8/10,94%,100%,100%,100%,100%,PKR 74.9 lacs,2020.0,"27,616 km",Hybrid,Automatic,"Feb 21, 2024",https://www.pakwheels.com/used-cars/honda-fit-2020-for-sale-in-lahore-7954240
Toyota Land Cruiser,9.6/10,90%,100%,100%,95%,100%,PKR 4.89 crore,2018.0,"49,613 km",Petrol,Automatic,"Feb 21, 2024",https://www.pakwheels.com/used-cars/toyota-land-cruiser-2018-for-sale-in-lahore-8270787
Nissan Leaf,9.8/10,96%,100%,100%,97%,100%,PKR 87.9 lacs,2020.0,"13,098 km",,Automatic,"Feb 21, 2024",https://www.pakwheels.com/used-cars/nissan-leaf-2020-for-sale-in-lahore-8309676
Nissan Leaf,9.9/10,100%,100%,100%,100%,100%,PKR 86.9 lacs,2020.0,"52,463 km",,Automatic,"Feb 21, 2024",https://www.pakwheels.com/used-cars/nissan-leaf-2020-for-sale-in-lahore-8309840
Peugeot 2008 Active,9.9/10,96%,100%,100%,100%,100%,PKR 67.5 lacs,2023.0,"17,022 km",Petrol,Automatic,"Feb 21, 2024",https://www.pakwheels.com/used-cars/peugeot-2008-2023-for-sale-in-gujranwala-8303808
Honda N Box Custom GL,9.4/10,84%,100%,100%,93%,100%,PKR 33 lacs,2020.0,"20,609 km",Petrol,Automatic,"Feb 21, 2024",https://www.pakwheels.com/used-cars/honda-n-box-2020-for-sale-in-gujranwala-8279308
Toyota Yaris Hatchback,9.2/10,77%,100%,100%,98%,100%,PKR 47.5 lacs,2020.0,"83,338 km",Petrol,Automatic,"Feb 21, 2024",https://www.pakwheels.com/used-cars/toyota-yaris-hatchback-2020-for-sale-in-faisalabad-8371635
Audi e-tron 50 Quattro 230 kW,10-Oct,100%,100%,100%,100%,100%,PKR 3.04 crore,2023.0,62 km,,Automatic,"Feb 21, 2024",https://www.pakwheels.com/used-cars/audi-e-tron-2023-for-sale-in-lahore-8391890
Proton Saga 1.3L Ace A/T,9.7/10,90%,100%,100%,100%,100%,PKR 37 lacs,2022.0,348 km,Petrol,Automatic,"Feb 21, 2024",https://www.pakwheels.com/used-cars/proton-saga-2022-for-sale-in-karachi-8231527
Suzuki Cultus VXR,8.8/10,62%,100%,100%,92%,100%,PKR 31 lacs,2021.0,"22,326 km",Petrol,,"Feb 21, 2024",https://www.pakwheels.com/used-cars/suzuki-cultus-2021-for-sale-in-lahore-8317157
Suzuki Alto VXL AGS,9.9/10,99%,100%,100%,97%,100%,PKR 30 lacs,2023.0,"3,389 km",Petrol,Automatic,"Feb 21, 2024",https://www.pakwheels.com/used-cars/suzuki-alto-2023-for-sale-in-karachi-8408547
MG ZS 1.5L,10-Oct,98%,100%,100%,100%,100%,PKR 59.5 lacs,2022.0,"16,931 km",Petrol,Automatic,"Feb 20, 2024",https://www.pakwheels.com/used-cars/mg-zs-2022-for-sale-in-lahore-8410099
Daihatsu Mira G SA III,8.1/10,41%,100%,100%,95%,100%,PKR 34 lacs,2017.0,"87,685 km",Petrol,Automatic,"Feb 20, 2024",https://www.pakwheels.com/used-cars/daihatsu-mira-2017-for-sale-in-karachi-8387658
Honda BR-V i-VTEC S,10-Oct,98%,100%,100%,100%,100%,PKR 57 lacs,2022.0,"9,614 km",Petrol,Automatic,"Feb 20, 2024",https://www.pakwheels.com/used-cars/honda-br-v-2022-for-sale-in-islamabad-8404595
Chery Tiggo 8 Pro 1.6 DEX Plus,9.9/10,97%,100%,100%,100%,100%,PKR 1.01 crore,2023.0,"2,481 km",Petrol,Automatic,"Feb 20, 2024",https://www.pakwheels.com/used-cars/chery-tiggo-8-pro-2023-for-sale-in-faisalabad-8310987
Honda Civic Oriel 1.8 i-VTEC CVT,9.1/10,70%,99%,100%,98%,100%,PKR 65 lacs,2021.0,"95,731 km",Petrol,Automatic,"Feb 20, 2024",https://www.pakwheels.com/used-cars/honda-civic-2021-for-sale-in-lahore-8408521
Honda City 1.5L ASPIRE CVT,10-Oct,100%,100%,100%,100%,100%,PKR 56 lacs,2022.0,908 km,Petrol,Automatic,"Feb 20, 2024",https://www.pakwheels.com/used-cars/honda-city-2022-for-sale-in-karachi-8398200
Honda HR-V VTi-S,9.6/10,87%,100%,100%,95%,100%,PKR 73 lacs,2023.0,"10,731 km",Petrol,Automatic,"Feb 20, 2024",https://www.pakwheels.com/used-cars/honda-hr-v-2023-for-sale-in-lahore-8404716
Toyota Yaris ATIV X CVT 1.5,9.4/10,80%,100%,100%,97%,100%,PKR 45 lacs,2021.0,"42,028 km",Petrol,Automatic,"Feb 20, 2024",https://www.pakwheels.com/used-cars/toyota-yaris-2021-for-sale-in-karachi-8391981
KIA Picanto 1.0 AT,9.5/10,86%,100%,100%,97%,100%,PKR 31 lacs,2022.0,"15,025 km",Petrol,Automatic,"Feb 20, 2024",https://www.pakwheels.com/used-cars/kia-picanto-2022-for-sale-in-karachi-8272982
Honda HR-V VTi-S,9.6/10,90%,100%,100%,100%,100%,PKR 68.5 lacs,2023.0,"24,090 km",Petrol,Automatic,"Feb 20, 2024",https://www.pakwheels.com/used-cars/honda-hr-v-2023-for-sale-in-lahore-8383973
Hyundai Sonata 2.0,9.6/10,87%,100%,100%,100%,100%,PKR 86.95 lacs,2021.0,"45,551 km",Petrol,Automatic,"Feb 20, 2024",https://www.pakwheels.com/used-cars/hyundai-sonata-2021-for-sale-in-lahore-8337665
Toyota Fortuner 2.7 VVTi,9.0/10,66%,100%,100%,97%,100%,PKR 1.19 crore,2018.0,"85,473 km",Petrol,Automatic,"Feb 20, 2024",https://www.pakwheels.com/used-cars/toyota-fortuner-2018-for-sale-in-karachi-8266588
Suzuki Wagon R,9.7/10,90%,100%,100%,99%,100%,PKR 38 lacs,2023.0,817 km,Petrol,Automatic,"Feb 20, 2024",https://www.pakwheels.com/used-cars/suzuki-wagon-r-2023-for-sale-in-lahore-8080514
Honda Vezel e-HEV Z,9.0/10,72%,100%,100%,94%,100%,PKR 1.25 crore,2021.0,"22,926 km",Hybrid,Automatic,"Feb 20, 2024",https://www.pakwheels.com/used-cars/honda-vezel-2021-for-sale-in-gujranwala-8346179
Toyota Hilux Revo GR-S,10-Oct,100%,100%,100%,100%,100%,PKR 1.75 crore,2023.0,"12,176 km",Diesel,Automatic,"Feb 20, 2024",https://www.pakwheels.com/used-cars/toyota-hilux-2023-for-sale-in-faisalabad-8359165
KIA Grand Carnival EX,9.1/10,78%,100%,100%,100%,100%,PKR 1 crore,2019.0,"75,810 km",Petrol,Automatic,"Feb 20, 2024",https://www.pakwheels.com/used-cars/kia-grand-carnival-2019-for-sale-in-faisalabad-8147146
Chery Tiggo 8 Pro 1.6 DEX Plus,10-Oct,100%,100%,100%,100%,100%,PKR 92 lacs,2022.0,"37,409 km",Petrol,Automatic,"Feb 20, 2024",https://www.pakwheels.com/used-cars/chery-tiggo-8-pro-2022-for-sale-in-faisalabad-8317544
MG ZS 1.5L,8.8/10,64%,98%,100%,100%,100%,PKR 52 lacs,2021.0,"42,222 km",Petrol,Automatic,"Feb 20, 2024",https://www.pakwheels.com/used-cars/mg-zs-2021-for-sale-in-karachi-8391995
Suzuki Swift GL Manual,10-Oct,100%,100%,100%,100%,100%,PKR 41.5 lacs,2022.0,"2,758 km",Petrol,,"Feb 20, 2024",https://www.pakwheels.com/used-cars/suzuki-swift-2022-for-sale-in-karachi-8401775
MG HS Trophy,9.6/10,89%,100%,100%,94%,100%,PKR 65 lacs,2021.0,"36,832 km",Petrol,Automatic,"Feb 20, 2024",https://www.pakwheels.com/used-cars/mg-hs-2021-for-sale-in-karachi-8366563
MG ZS EV Luxury,9.9/10,96%,100%,100%,100%,100%,PKR 1.15 crore,2022.0,"2,995 km",,Automatic,"Feb 20, 2024",https://www.pakwheels.com/used-cars/mg-zs-ev-2022-for-sale-in-karachi-8273171
Honda Civic RS,9.9/10,98%,100%,100%,100%,100%,PKR 97 lacs,2023.0,"12,348 km",Petrol,Automatic,"Feb 20, 2024",https://www.pakwheels.com/used-cars/honda-civic-2023-for-sale-in-karachi-8330368
Hyundai Elantra GL,10-Oct,99%,100%,100%,100%,100%,PKR 69 lacs,2023.0,183 km,Petrol,Automatic,"Feb 20, 2024",https://www.pakwheels.com/used-cars/hyundai-elantra-2023-for-sale-in-karachi-8384993
Hyundai Elantra GLS,10-Oct,100%,100%,100%,97%,100%,PKR 74.5 lacs,2023.0,"1,916 km",Petrol,Automatic,"Feb 20, 2024",https://www.pakwheels.com/used-cars/hyundai-elantra-2023-for-sale-in-karachi-8228807
Hyundai Sonata 2.5,9.6/10,88%,100%,100%,100%,100%,PKR 1.15 crore,2022.0,"8,377 km",Petrol,Automatic,"Feb 20, 2024",https://www.pakwheels.com/used-cars/hyundai-sonata-2022-for-sale-in-karachi-8231467
Hyundai Sonata 2.5,10-Oct,100%,100%,100%,100%,100%,PKR 1.19 crore,2023.0,645 km,Petrol,Automatic,"Feb 20, 2024",https://www.pakwheels.com/used-cars/hyundai-sonata-2023-for-sale-in-karachi-8252708
Toyota Fortuner 2.8 Sigma 4,9.7/10,89%,100%,100%,100%,100%,PKR 1.41 crore,2019.0,"46,771 km",Diesel,Automatic,"Feb 20, 2024",https://www.pakwheels.com/used-cars/toyota-fortuner-2019-for-sale-in-karachi-8343578
Toyota Yaris ATIV X CVT 1.5,8.3/10,46%,100%,100%,95%,100%,PKR 44.5 lacs,2021.0,"24,596 km",Petrol,Automatic,"Feb 20, 2024",https://www.pakwheels.com/used-cars/toyota-yaris-2021-for-sale-in-karachi-8364749
Honda City 1.2L CVT,10-Oct,99%,100%,100%,100%,100%,PKR 45 lacs,2021.0,"9,250 km",Petrol,Automatic,"Feb 20, 2024",https://www.pakwheels.com/used-cars/honda-city-2021-for-sale-in-karachi-8289614
